CSD_identifier,la_smiles,ca_class,la_atom_count,picked_for_fia_calculation,la_xyz_successfully_generated,part_of_the_final_fia2k_csd_dataset
ABEMUQ,[H]Oc1c(C([H])([H])[H])nc([H])c(C([H])([H])O[H])c1[C@@]([H])(c1c([H])c([H])c([H])c([H])c1[H])N1OB(c2c([H])c([H])c([H])c([H])c2[H])OC2(C1([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],B(III),65.0,False,not_attempted,False
ABITUD,[H]OB1c2c([H])c([H])c([H])c([H])c2C([H])=C2C(C([H])([H])[H])=C(C([H])([H])C([H])([H])[H])C(=O)N12,B(III),32.0,False,not_attempted,False
ACEHEV,[H]/C(=N\C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[C@@]1([H])C(=C(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])OB(N(C([H])([H])[H])C([H])([H])[H])N1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],B(III),67.0,False,not_attempted,False
ACEPAA,[H]OB(O[H])c1oc([H])c([H])c1C([H])=O,B(III),15.0,True,True,True
ACODUS,[H]c1c([H])c([H])c(OB(Oc2c([H])c([H])c([H])c([H])c2[H])Oc2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],B(III),37.0,False,not_attempted,False
ACUDIL,[H]OB1OC([H])([H])c2c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c21,B(III),25.0,False,not_attempted,False
ADAMID,[H]C1=C([H])N(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C([H])B1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],B(III),36.0,True,True,True
ADITEP,[H]c1sc(C(=O)C([H])([H])[H])c([H])c1C([H])([H])[C@@]([H])(B1OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O1)c1c([H])c([H])c([H])c([H])c1[H],B(III),50.0,False,not_attempted,False
AFIBUO,[H]c1c([H])c(C(=O)N(C([H])([H])[H])C([H])([H])[H])c(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c([H])c1C(=O)N(C([H])([H])[H])C([H])([H])[H],B(III),52.0,False,not_attempted,False
AFICOJ,[H]c1c([H])c(C(=O)OC([H])([H])[H])c(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c([H])c1C(=O)OC([H])([H])[H],B(III),44.0,False,not_attempted,False
AFOLUC,[H]OB(O[H])c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],B(III),19.0,False,not_attempted,False
AGOKEP,[H]c1c([H])c(B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c([H])c(-n2c3c([H])c([H])c([H])c([H])c3c3c([H])c([H])c([H])c([H])c32)c1[H],B(III),72.0,False,not_attempted,False
AGUFEQ,[H]/C(C#Cc1c([H])c([H])c(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c([H])c1[H])=C(/[H])N1C(=O)c2c([H])c([H])c([H])c([H])c2C1=O,B(III),52.0,False,not_attempted,False
AGUGOA,[H]c1c([H])c([H])c(/C(=C(/c2c([H])c([H])c(B(c3c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c3C([H])([H])[H])c3c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c3C([H])([H])[H])c([H])c2[H])c2c([H])c([H])c3c(c2[H])c2c([H])c([H])c([H])c([H])c2n3C([H])([H])C([H])([H])[H])c2c([H])c([H])c3c(c2[H])c2c([H])c([H])c([H])c([H])c2n3C([H])([H])C([H])([H])[H])c([H])c1[H],B(III),118.0,False,not_attempted,False
AHARAF,[H]OB1O[C@@]2([H])C3(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])[C@@]2(c2c([H])c([H])c3c([H])c([H])c([H])c([H])c3c2[H])C1([H])[H],B(III),46.0,True,True,True
AHAREJ,[H]O[C@@]1([H])C2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])[C@]1(c1c([H])c([H])c2c([H])c([H])c([H])c([H])c2c1[H])C([H])([H])B1OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O1,B(III),65.0,False,not_attempted,False
AHAVOW,[H]c1c([H])c([H])c(C2=C(c3c([H])c([H])c([H])c([H])c3[H])C(c3c([H])c([H])c([H])c([H])c3[H])=C(c3c([H])c([H])c([H])c([H])c3[H])B2c2c(C(F)(F)F)c([H])c(C(F)(F)F)c([H])c2C(F)(F)F)c([H])c1[H],B(III),69.0,False,not_attempted,False
AHAVUC,[H]c1c([H])c([H])c(C2=C3C(=C(c4c([H])c([H])c([H])c([H])c4[H])B2c2c(C(F)(F)F)c([H])c(C(F)(F)F)c([H])c2C(F)(F)F)C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H],B(III),56.0,False,not_attempted,False
AHAWAJ,[H]OB(/C(=C1C(=C(/[H])c2c([H])c([H])c([H])c([H])c2[H])\C([H])([H])C([H])([H])C\1([H])[H])c1c([H])c([H])c([H])c([H])c1[H])c1c(C(F)(F)F)c([H])c(C(F)(F)F)c([H])c1C(F)(F)F,B(III),59.0,True,True,True
AHOGOT,[H]c1nc(N(c2nc([H])c([H])c([H])c2[H])c2c([H])c([H])c(-c3c(C([H])([H])[H])c(C([H])([H])[H])c(B(c4c(C([H])([H])[H])c(C([H])([H])[H])c(-c5c([H])c([H])c(N(c6nc([H])c([H])c([H])c6[H])c6nc([H])c([H])c([H])c6[H])c([H])c5[H])c(C([H])([H])[H])c4C([H])([H])[H])c4c(C([H])([H])[H])c(C([H])([H])[H])c(-c5c([H])c([H])c(N(c6nc([H])c([H])c([H])c6[H])c6nc([H])c([H])c([H])c6[H])c([H])c5[H])c(C([H])([H])[H])c4C([H])([H])[H])c(C([H])([H])[H])c3C([H])([H])[H])c([H])c2[H])c([H])c([H])c1[H],B(III),160.0,False,not_attempted,False
